⚠️ File truncated for preview (showing first 0.5MB of 57.7MB)
────────────────────────────────────────────────────────────

Logging time,File name,Cumulative electric energy (kWh),Electric current (A),Voltage (V),Active power (kW),Reactive power (kVAR),Apparent power (kVA),Power factor (PF),AC frequency (Hz),Phase shift,Number of boards inside equipment,Number of boards produced,Product number information,Production start time,Production end time,C/V (Conveyor speed m/min),Conveyor width (mm),Warp prevention width (mm),Equipment status,Number of alarms,Flow rate (L/min),O2 concentration (ppm),ZONE1 UPPER Temperature (°C),ZONE1 LOWER Temperature (°C),BLOWER1 UPPER Temperature (°C),BLOWER1 LOWER Temperature (°C),ZONE2 UPPER Temperature (°C),ZONE2 LOWER Temperature (°C),BLOWER2 UPPER Temperature (°C),BLOWER2 LOWER Temperature (°C),ZONE3 UPPER Temperature (°C),ZONE3 LOWER Temperature (°C),BLOWER3 UPPER Temperature (°C),BLOWER3 LOWER Temperature (°C),ZONE4 UPPER Temperature (°C),ZONE4 LOWER Temperature (°C),BLOWER4 UPPER Temperature (°C),BLOWER4 LOWER Temperature (°C),ZONE5 UPPER Temperature (°C),ZONE5 LOWER Temperature (°C),BLOWER5 UPPER Temperature (°C),BLOWER5 LOWER Temperature (°C),ZONE6 UPPER Temperature (°C),ZONE6 LOWER Temperature (°C),BLOWER6 UPPER Temperature (°C),BLOWER6 LOWER Temperature (°C),ZONE7 UPPER Temperature (°C),ZONE7 LOWER Temperature (°C),BLOWER7 UPPER Temperature (°C),BLOWER7 LOWER Temperature (°C),ZONE8 UPPER Temperature (°C),ZONE8 LOWER Temperature (°C),BLOWER8 UPPER Temperature (°C),BLOWER8 LOWER Temperature (°C),ZONE9 UPPER Temperature (°C),ZONE9 LOWER Temperature (°C),BLOWER9 UPPER Temperature (°C),BLOWER9 LOWER Temperature (°C),ZONE10 UPPER Temperature (°C),ZONE10 LOWER Temperature (°C),BLOWER10 UPPER Temperature (°C),BLOWER10 LOWER Temperature (°C),COOL1 upper,COOL2 upper
2025-11-26 09:00:00,log_20251126,0.09555555555555556,75.43859649122807,480.0,34.4,11.30673321815289,36.21052631578947,0.95,60.0,0.0,5,5,A-001,2025-11-26 09:00:00,,1.0,300,290,Operating,1,5.0,107.16778952258254,36.6363718668694,35.44850964048294,41.6360233608324,39.1360233608324,37.42591437581327,36.78588480334512,42.42604657656865,39.92604657656865,39.58826056937796,38.222622120713474,44.58843636561618,42.08843636561618,39.36959452276995,38.19532214325048,44.36952147640793,41.86952147640793,42.25838896154948,40.68042746834907,47.25841592716416,44.75841592716416,43.59273253320549,41.8836528387004,48.59269572362776,46.09269572362776,44.21906547537297,43.707237512684515,49.21939992931579,46.71939992931579,43.66829121023372,41.804967830223404,48.66791180121265,46.16791180121265,39.3485443982457,37.90083931018266,44.348360915915535,41.848360915915535,36.835095236382124,36.12958759656797,41.834922179253894,39.334922179253894,50.78358539523151,45.73474394248449
2025-11-26 09:00:10,log_20251126,0.19111111111111112,75.43868619577344,480.0,34.4,11.306794253033475,36.21054537397125,0.9499995,60.0,0.0,5,5,A-001,2025-11-26 09:00:00,,1.0,300,290,Operating,2,5.0,96.84754053034592,42.62519824769601,40.92068194738279,47.625289351273864,45.125289351273864,43.79417718768055,42.88591075745792,48.79406791467439,46.29406791467439,46.60256563600008,44.743563044034296,51.602954578589916,49.102954578589916,46.791034801533165,45.65354179248556,51.791106345280504,49.291106345280504,50.63701984249191,50.06643637810854,55.63692482163665,53.13692482163665,52.20835229746417,51.249536616669474,57.20861191047612,54.70861191047612,53.41135034082621,52.22890756833939,58.41172740981997,55.91172740981997,53.228194801083006,51.9778952844035,58.227893055249396,55.727893055249396,46.7276419801743,45.834482073435616,51.727922333999246,49.227922333999246,41.98114613942762,40.42667804862078,46.98131226730437,44.48131226730437,50.43089971864109,44.165552742240024
2025-11-26 09:00:20,log_20251126,0.2866666666666667,75.43881560498956,480.0,34.4,11.30691632209532,36.21058349039498,0.9499985,60.0,0.0,5,5,A-001,2025-11-26 09:00:00,,1.0,300,290,Operating,3,5.0,94.68171242507154,47.596352099502184,45.832354667347694,52.59651245421982,50.09651245421982,49.51689396172489,48.98709124182128,54.516807810799456,52.016807810799456,52.615642279381596,51.83757212592923,57.6161875790604,55.1161875790604,54.01841472739271,52.61350888253064,59.01840769054864,56.51840769054864,58.01365089237803,56.275029753222796,63.013459557575075,60.513459557575075,60.241365363964626,58.424633706814134,65.24147740638159,62.74147740638158,63.08201117689775,61.90556822406108,68.08230294429598,65.58230294429598,61.905275756246404,61.36706781611485,66.90503072845333,64.40503072845333,53.5408658566827,51.82266126332074,58.54110985508089,56.04110985508089,46.6750807591721,46.0845379605754,51.67488375687029,49.17488375687029,50.304270224959645,43.15655790767062
2025-11-26 09:00:30,log_20251126,0.38222222222222224,75.43898471912719,480.0,34.4,11.307099423939956,36.210640665181046,0.949997,60.0,0.0,5,5,A-001,2025-11-26 09:00:00,,1.0,300,290,Operating,4,5.0,99.52875053507574,52.876076547187125,51.548792421799135,57.87643250709363,55.37643250709363,55.49220772308678,54.626312886847295,60.492334390886995,57.992334390886995,59.15505278293046,58.4523774726098,64.15569541820352,61.65569541820352,60.338534126591995,58.72084948383854,65.33811918278494,62.83811918278493,64.93545478741294,63.88138872750967,69.93504827777862,67.43504827777862,67.82281049246963,66.67322321652674,72.8228627547922,70.3228627547922,72.05953685153601,71.29962621917453,77.06009654392274,74.56009654392274,70.29384411266622,68.80055908596809,75.2932996479318,72.7932996479318,60.01338817292351,58.118649081700276,65.01384101021873,62.51384101021873,50.488199655503415,49.88853316845093,55.487918198133244,52.987918198133244,49.80340260855928,44.50522628275587
2025-11-26 09:00:40,log_20251126,0.4777777777777778,75.43919353856248,480.0,34.4,11.307343556469696,36.210716898509986,0.949995,60.0,0.0,5,5,A-001,2025-11-26 09:00:00,,1.0,300,290,Operating,5,5.0,96.60263699326009,57.43131836875832,56.90163314133216,62.43195796889119,59.93195796889119,60.43558511669588,58.764712231788,65.43575896138213,62.935758961382135,65.13149076239726,63.14468352043444,70.13227787286837,67.63227787286837,67.20486484334633,65.96392072593464,72.2041256410933,69.7041256410933,71.43859675566192,69.44715050027962,76.43858017552219,73.93858017552219,75.10993481139258,74.03560252470021,80.10959449222128,77.60959449222128,80.31606236129669,79.30833444373629,85.31684808780321,82.81684808780321,77.8308222149292,76.32107346081283,82.83044908618491,80.33044908618491,66.10880858976289,65.07440893863853,71.1089164469987,68.6089164469987,54.68866138513826,53.17941547170387,59.68862907701783,57.18862907701783,49.7460190770434,43.86109295678341
2025-11-26 09:00:50,log_20251126,0.5733333333333334,75.43944206379699,480.0,34.4,11.307648716888014,36.210812190622555,0.9499925,60.0,0.0,5,5,A-001,2025-11-26 09:00:00,,1.0,300,290,Operating,6,5.0,91.2527398866209,61.77161994439664,60.396026934353856,66.7724287985868,64.2724287985868,64.80849363547762,63.79101598525899,69.80900491632578,67.30900491632578,70.75385544748623,69.69515563898679,75.75447754957773,73.25447754957773,73.4970091138867,72.80017300070783,78.49631500293629,75.99631500293629,78.07518566568662,77.42456739833969,83.07531751764503,80.57531751764503,81.88061873831853,79.96275572244313,86.8806552733845,84.3806552733845,87.95728104750074,86.30783624582108,92.95812243038219,90.45812243038219,85.4824109248449,84.96583688180843,90.48211429881412,87.98211429881412,71.47594384906036,70.90976160303431,76.47630397448786,73.97630397448786,58.5525750008126,57.86818719021649,63.55251398132522,61.05251398132522,50.728297696715586,46.06236230045049
2025-11-26 09:01:00,log_20251126,0.6688888888888889,75.43973029545764,480.0,34.4,11.3080149016996,36.21092654181967,0.9499895,60.0,0.0,5,5,A-001,2025-11-26 09:00:00,,1.0,300,290,Operating,7,5.0,101.90940489254828,66.3487356533439,64.68234084138369,71.349563635351,68.849563635351,69.22106871536654,68.1642738376383,74.22148894397205,71.72148894397205,76.03279474336142,75.25599566785445,81.03357949666082,78.53357949666082,79.21172777937643,78.16423565837295,84.21104916944627,81.71104916944627,84.09257748173329,82.3187640224837,89.09330164547772,86.59330164547772,88.41059196975046,86.77660507410701,93.41048939246681,90.91048939246681,95.36760998899022,93.53077812460972,100.36855887417269,97.86855887417269,92.7251965729332,92.10625567988384,97.72522336152872,95.22522336152872,76.76859348056114,76.11117973427157,81.76937029454683,79.26937029454683,62.206461410635086,60.57883099250662,67.20653942987137,64.70653942987137,51.37682226237323,43.81192601518741
2025-11-26 09:01:10,log_20251126,0.7644444444444445,75.44005823429679,480.0,34.4,11.308442106710825,36.211059952462456,0.949986,60.0,0.0,5,5,A-001,2025-11-26 09:00:00,,1.0,300,290,Operating,8,5.0,99.40957762713543,70.3943577994394,69.77265326540305,75.39537175245465,72.89537175245465,73.86013138191343,72.51617099614683,78.86044989265444,76.36044989265444,80.85463216201886,80.32036913503903,85.85491897253327,83.35491897253327,85.10888360731303,84.32282715144282,90.10840758809947,87.60840758809947,89.4917975037018,87.6916865810767,94.49274711183647,91.99274711183647,94.87597673408887,93.93969106549929,99.87574453035894,97.37574453035894,102.45042453639519,100.97113578326646,107.45129683837344,104.95129683837344,99.79801470047445,98.63906963510398,104.79855762303862,102.29855762303862,81.78385084126373,80.12905492565271,86.7849853099617,84.2849853099617,65.28766359265869,63.583303269157106,70.28749369026104,67.78749369026104,50.96422766912105,45.464754089564344
2025-11-26 09:01:20,log_20251126,0.8600000000000001,75.44042588119214,480.0,34.4,11.308930327029964,36.211212422972224,0.949982,60.0,0.0,5,5,A-001,2025-11-26 09:00:00,,1.0,300,290,Operating,9,5.0,95.01274459615193,74.34487675130649,73.20534699570409,79.34573530442339,76.84573530442339,77.87449012897925,75.90743221561162,82.87451195720942,80.37451195720942,85.34939219756565,83.67159637241255,90.34907126415038,87.84907126415038,90.298956856524,88.43510857545252,95.29846767481452,92.79846767481452,94.85129646636811,93.32965667818262,99.85240049666002,97.35240049666002,100.82585159662011,100.127844683275,105.82547681616681,103.32547681616681,109.05787821155577,107.863672267902,114.05891859168726,111.55891859168726,106.09490847836354,105.14291901586292,111.09576141346251,108.59576141346251,86.97041723498133,85.31025950837777,91.97196101666994,89.47196101666994,68.25428702817538,66.86065397632846,73.25410973633805,70.75410973633805,49.60100358894949,43.896442610201575
2025-11-26 09:01:30,log_20251126,0.9555555555555557,75.44083323714683,480.0,34.4,11.30947955706769,36.211383953830484,0.9499775,60.0,0.0,5,5,A-001,2025-11-26 09:00:00,,1.0,300,290,Operating,10,5.0,92.16082797482477,78.4790951977172,77.39728748936056,83.47957988281702,80.97957988281702,81.89255242879744,81.2625895498187,86.89255345971745,84.39255345971745,89.40578408673052,88.28389055107554,94.40526306399585,91.90526306399585,95.02847869337631,93.60677541407044,100.02800765914763,97.52800765914763,99.64747291671404,98.93258049559813,104.64886248000255,102.14886248000255,106.58226450943992,105.14484131012651,111.5820731676236,109.0820731676236,115.34162873575536,114.77722292584303,120.34256256022844,117.84256256022844,112.55733952506036,112.01294378070207,117.5580488853042,115.0580488853042,91.66287490363324,89.89331972999318,96.66472325244493,94.16472325244493,71.64000233262134,70.03944076172485,76.63983831065187,74.13983831065187,50.82272792213653,44.4947247964474
